,Brands,Models,Transmission,Colour,Mileage,Year,Prices
2014,Kia,Sportage,0,Black,146000,4,16850
2015,Kia,Sportage,0,Silver,90745,5,16995
2016,Kia,Sportage,0,White,136589,5,15500
2017,Kia,Sportage,0,Black,64499,7,13995
2018,Kia,Sportage,0,Black,128973,8,12000
2019,Kia,Sportage,0,Silver,196920,8,11000
2020,Kia,Stonic,0,Grey,$,0,22995
2021,Kia,Stonic,0,Red,$,0,20995
2022,Kia,Venga,0,Grey,262704,3,6995
2023,Kia,Venga,0,Silver,40836,4,11995
2024,Hyundai,Tucson,0,Bronze,120318,4,16995
2025,Hyundai,Tucson,0,Blue,106000,4,16995
2026,Hyundai,Tucson,0,Grey,172000,4,15995
2027,Hyundai,Tucson,0,Grey (Metallic),127000,4,15500
2028,Hyundai,Tucson,0,White,152884,4,14950
2029,Isuzu,D-Max,0,White,86902,3,19750
2030,Jaguar,E-PACE,0,Red,8500,1,33995
2031,Jaguar,I-PACE,1,Grey,35244,1,58995
2032,Jaguar,XE,0,Black,11100,1,37950
2033,Jaguar,XF,1,Grey,55500,2,35950
2034,Jaguar,XJ6,1,Blue,199009,13,6950
2035,Jeep,Cherokee,0,Black,30166,4,22995
2036,Jeep,Renegade,0,Black,30638,2,18950
2037,Kia,Ceed,0,Grey,$,0,24995
2038,Kia,Ceed,0,Grey,49826,3,16995
2039,Kia,Ceed,0,Silver,77777,4,12995
2040,Kia,Ceed,0,White,159131,4,10200
2041,Kia,Ceed,0,White,218865,6,8950
2042,Kia,Ceed,0,White,181608,7,7950
2043,Kia,Ceed,0,Grey,240249,9,4450
2044,Kia,Niro,1,Grey,26795,1,26995
2045,Kia,Niro,1,Grey,19563,1,26995
2046,Kia,Niro,1,Blue,66625,2,22995
2047,Kia,Optima,0,White,13769,1,28995
2048,Kia,Optima,0,Black,40754,2,17950
2049,Kia,Picanto,0,White,80465,3,9950
2050,Hyundai,Santa Fe,0,White,63000,2,29950
2051,Hyundai,Santa Fe,0,Black,76400,3,26500
2052,Hyundai,Santa Fe,0,White,94788,4,24950
2053,Hyundai,Tucson,1,Grey,12002,0,36995
2054,Hyundai,Tucson,0,White,38350,1,28950
2055,Hyundai,Tucson,0,Grey,$,2,41000
2056,Hyundai,Tucson,0,White,95501,2,23995
2057,Hyundai,Tucson,0,White,53107,3,21995
2058,Hyundai,Tucson,0,Grey,79000,3,19400
2059,Hyundai,Tucson,0,White,92002,3,18995
2060,Hyundai,Tucson,0,Brown,82982,3,18995
2061,Hyundai,Tucson,0,Silver,75000,3,18500
2062,Hyundai,Tucson,1,Gold,34146,3,23495
2063,Hyundai,Tucson,0,Grey,123000,3,21995
2064,Hyundai,Tucson,0,Grey,61000,3,20995
2065,Hyundai,Tucson,0,Blue,65655,3,20950
2066,Hyundai,Tucson,0,White,75002,3,20495
2067,Hyundai,Tucson,0,White,74000,3,18995
2068,Hyundai,Tucson,0,Black,$,4,20950
2069,Hyundai,Tucson,0,Grey,68000,4,18995
2070,Hyundai,Tucson,0,Blue,53107,4,18995
2071,Hyundai,Tucson,0,Grey,141002,4,15995
2072,Hyundai,Tucson,0,Silver,63891,4,99999
2073,Hyundai,Tucson,0,White,112000,4,18995
2074,Hyundai,Tucson,0,Beige,78000,4,18995
2075,Hyundai,Tucson,0,Beige,76002,4,18995
2076,Hyundai,Tucson,0,Blue,79937,4,18950
2077,Hyundai,i30,0,Black,68810,2,17750
2078,Hyundai,i30,0,Silver,54306,2,17750
2079,Hyundai,i30,0,Grey,62000,2,15495
2080,Hyundai,i30,1,Black,$,3,15950
2081,Hyundai,i30,0,Black,99542,3,13900
2082,Hyundai,i30,0,White,74609,3,13900
2083,Hyundai,i40,0,White,73000,2,22995
2084,Hyundai,i40,0,Silver,94949,2,17950
2085,Hyundai,i40,0,Red,96000,4,16995
2086,Hyundai,i40,0,Silver,88512,4,13250
2087,Hyundai,i40,0,Black,210657,6,10950
2088,Hyundai,i40,1,Silver,125500,6,9995
2089,Hyundai,i40,0,Black,199851,6,9500
2090,Hyundai,i40,0,Blue,167367,8,8450
2091,Hyundai,Ioniq,1,Black,1000,0,34950
2092,Hyundai,Ioniq,1,White,44256,1,22995
2093,Hyundai,ix20,0,Grey,2,1,18750
2094,Hyundai,ix20,1,White,$,2,17995
2095,Hyundai,ix20,0,Grey,32000,3,14495
2096,Hyundai,ix20,0,Blue,59825,4,11500
2097,Hyundai,ix35,0,White,118035,5,15995
2098,Hyundai,ix35,0,Blue,117000,5,15495
2099,Hyundai,ix35,0,Bronze,102679,5,15495
2100,Hyundai,ix35,0,Bronze,115448,5,14995
2101,Hyundai,ix35,0,Silver,103500,6,8100
2102,Hyundai,Kona,0,Orange,35199,1,18750
2103,Hyundai,Kona,0,Green,35749,1,18500
2104,Hyundai,Santa Fe,1,White,17000,1,46995
2105,Honda,Civic,0,Grey,86902,9,7950
2106,Honda,CR-V,0,Grey,69141,3,22950
2107,Honda,CR-V,0,Black,51976,3,20950
2108,Honda,CR-V,0,Silver,120698,3,20750
2109,Honda,CR-V,0,Silver,160930,3,18950
2110,Honda,CR-V,0,Red,164565,4,16950
2111,Honda,Jazz,0,Blue,64372,2,12950
2112,Honda,Jazz,0,Red,57935,4,11950
2113,Honda,Jazz,1,White,115000,5,13950
2114,Honda,Jazz,1,Blue,132000,5,11450
2115,Honda,Jazz,1,White,155000,5,9950
2116,Hyundai,i10,0,Blue,1500,0,16995
2117,Hyundai,i10,0,Red,2,0,15750
2118,Hyundai,i10,1,Red,33002,1,14850
2119,Hyundai,i10,1,White,40405,1,13950
2120,Hyundai,i10,0,White,39000,1,13495
2121,Hyundai,i10,0,White,36410,1,11900
2122,Hyundai,i10,0,Red,20655,2,11950
2123,Hyundai,i10,1,White,93634,7,7950
2124,Hyundai,i20,0,Blue,1500,0,18995
2125,Hyundai,i20,0,Red,2,1,16995
2126,Hyundai,i20,0,Silver,38020,1,14450
2127,Hyundai,i20,0,Red,42074,4,10950
2128,Hyundai,i20,0,Black,153000,8,4950
2129,Hyundai,i20,0,Blue,167781,9,5950
2130,Hyundai,i30,0,Brown,2,0,24900
2131,Hyundai,i30,0,Grey,40000,1,20495
