,Brands,Models,Transmission,Colour,Mileage,Year,Prices
599,Mercedes-Benz,E-Class,1,Obsidean Black,11900,1,43950
#193,Kia,Ceed,1,Lunar Silver,$,-1,28450
215,Kia,Sportage,0,Red,27004,2,25500
143,Ford,Ranger,1,Grey,3800,0,63500
496,Renault,Megane,0,Blue,58956,2,17900
216,Kia,Sportage,0,Aurora Black,56000,3,20950
272,Volkswagen,Tiguan,0,Black Metallic,1,-1,34700
250,Volvo,XC90,1,Blue,13999,1,63950
391,Toyota,YARIS,0,Ultra Silver,10,0,16950
8,Audi,A4,0,Grey,125437,4,20500
509,SEAT,Ateca,0,White,8900,3,22950
19,BMW,1 Series,0,Silver,148178,12,5950
507,SEAT,Arona,0,Grey,49888,2,17950
210,Kia,Sportage,0,Cassa White,5000,0,29950
290,Volvo,S60,1,White,67999,4,17500
340,Volkswagen,Golf,0,Reflex Silver,4,0,25500
217,Kia,Sportage,0,Silver,51784,3,20950
443,Skoda,Karoq,0,Black,70000,2,23950
53,Fiat,Ducato Passenger,0,White,10,-1,43000
28,BMW,5 Series,1,Black,105721,3,25020
431,Skoda,Rapid,0,Black,28000,2,14950
453,Skoda,Octavia,0,Grey,11000,0,24950
#442,Skoda,Kamiq,0,Moon White Metallic,$,0,27372
124,Ford,Kuga,0,Grey,60692,3,26500
236,Kia,XCeed,0,Infra Red,2000,0,24250
209,Kia,Sportage,0,Platinum Graphite,5000,0,29950
130,Ford,Kuga,0,Black,39439,3,20500
298,Volkswagen,Polo,0,Red,13,-1,17950
115,Ford,Galaxy,1,Silver,12736,1,39950
147,Ford,Ranger,1,Grey,127223,2,29000
327,Volkswagen,Passat,0,Pyrite Silver,10,0,37100
54,Fiat,Ducato Passenger,0,White,10,-1,37650
63,Ford,Fiesta,0,Grey,16,0,22500
#444,Skoda,Kodiaq,1,Black,$,0,48100
136,Ford,Mondeo,0,Grey,114151,3,18500
570,MINI,Hatch,0,Black,66852,4,15950
99,Ford,Focus,0,Blue,85892,3,16950
127,Ford,Kuga,0,Grey,81295,3,21500
432,Skoda,Rapid,1,Silver,180242,6,9950
44,Dacia,Sandero,0,White,6463,1,10690
267,Volkswagen,Tiguan,1,Reflex Silver,10,-1,46200
#117,Ford,Galaxy,0,Grey,$,14,1699
