,Brands,Models,Transmission,Colour,Mileage,Year,Prices
354,6,46,0,27,81233,3,18900
355,6,46,0,37,89374,3,17900
356,6,46,0,95,86014,4,15900
357,6,50,1,65,16256,0,40950
358,6,50,0,91,56357,2,26490
359,3,69,0,10,76591,3,20500
360,3,69,0,10,42646,3,18950
361,3,69,0,79,83523,3,18895
362,3,69,0,42,41359,3,17950
363,3,69,0,85,69200,3,17350
364,3,69,0,42,83000,4,15750
365,3,69,0,42,70809,6,14950
366,3,69,0,22,164149,8,10950
367,3,69,0,91,211404,8,6950
368,3,69,0,91,270362,9,6950
369,3,69,0,101,236567,10,6950
370,3,69,0,85,297722,10,3950
371,3,96,1,101,69844,3,22950
372,4,12,0,91,193116,9,5999
373,4,12,0,13,159000,10,3950
374,4,12,0,9,181851,12,3300
#375,4,30,0,85,$,0,16900
376,4,30,0,13,96249,5,9950
377,4,30,0,13,100369,8,6999
378,4,30,0,13,197622,16,1499
379,4,44,0,10,115870,8,7950
380,4,57,1,42,39000,3,13950
381,4,57,0,42,74028,5,8450
382,4,59,0,92,77480,3,14950
383,4,59,0,10,59053,3,14400
384,4,59,0,19,101000,4,14500
385,4,59,0,13,100583,5,13950
386,4,93,0,9,194725,13,999
387,4,103,0,100,122307,6,9500
388,1,36,1,68,11000,0,47950
389,1,36,1,91,7000,0,58950
390,1,36,1,90,29000,1,47950
391,1,37,1,90,19250,0,86950
392,1,72,1,23,6600,1,79900
393,1,72,1,91,199873,10,10950
394,0,40,0,91,61509,3,16500
395,0,40,0,101,75710,4,15950
396,0,40,0,10,66852,4,15950
397,0,40,0,10,51585,4,15950
398,0,40,0,101,49888,4,13950
399,2,32,0,42,40072,1,23500
400,2,32,0,10,40233,1,21500
401,2,51,0,13,159321,13,1995
402,2,62,1,42,233311,7,8950
403,3,7,0,13,225302,15,999
404,3,45,0,91,124108,7,7995
405,3,52,1,42,23000,1,24950
406,3,52,1,39,20116,3,15950
407,3,60,0,42,101727,3,28900
408,3,68,0,42,114206,5,11500
409,3,69,0,42,6598,1,23450
410,3,69,1,13,28485,2,22350
411,3,69,0,85,55000,3,18950
412,3,69,0,42,67142,3,20950
413,3,69,0,101,55917,3,20950
414,3,69,0,101,38219,3,20950
415,1,16,1,48,35000,1,38950
416,1,16,1,16,24500,1,36950
417,1,16,1,91,22601,1,34950
418,1,16,1,14,71160,2,31950
419,1,16,1,23,55200,2,31950
420,1,16,1,91,34307,2,27950
421,1,16,1,68,16500,2,38950
422,1,16,1,48,90700,3,26950
423,1,16,1,68,72500,3,26950
424,1,16,0,42,99144,3,19995
425,1,16,0,91,88512,7,15950
426,1,16,0,10,145999,9,8750
427,1,20,0,85,131467,4,19950
