,Brands,Models,Transmission,Colour,Mileage,Year,Prices
1459,7,69,1,109,35405,5,13450
1460,7,69,0,109,170586,6,8450
1461,7,69,0,109,205990,9,6750
1462,7,69,0,12,238176,10,5250
1463,7,69,0,12,77246,17,600
1464,7,71,0,8,16994,1,21450
1465,7,71,0,123,74564,2,16500
1466,7,71,0,12,26056,2,17995
1467,7,71,0,109,49859,2,17950
1468,7,71,0,123,72419,2,17495
1469,3,30,0,8,9000,0,12393
1470,3,35,0,101,48910,5,9995
1471,3,36,0,51,32999,1,17995
1472,3,36,0,8,56546,5,11950
1473,3,36,0,51,32999,1,17995
1474,3,36,0,8,56546,5,11950
1475,3,36,0,51,76999,5,10995
1476,3,37,0,51,13500,0,28995
1477,3,84,1,12,62092,2,19950
1478,3,84,1,12,53107,3,18950
1479,3,84,0,12,94949,3,15950
1480,3,84,0,101,37014,4,17950
1481,3,84,0,51,136791,4,16950
1482,3,84,0,109,127135,4,15750
1483,3,84,1,109,97996,5,13995
1484,3,84,0,123,72419,5,14950
1485,3,84,0,109,132000,6,11495
1486,3,84,0,101,112638,6,10750
1487,3,84,1,101,200641,10,5000
1488,3,84,1,101,201163,11,4250
1489,3,174,0,1,45060,2,27900
1490,4,64,0,51,24,0,21750
1491,4,64,0,123,14,1,15400
1492,4,64,0,51,11941,1,19495
1493,4,64,0,51,30098,1,19450
1494,4,64,0,18,31723,1,18450
1495,4,64,0,8,30556,1,18450
1496,4,64,0,18,27760,1,18450
1497,4,64,0,51,27965,1,17450
1498,4,64,0,123,81134,2,13950
1499,4,113,0,51,22,0,17250
1500,4,113,0,101,25,1,14950
1501,1,13,1,8,240339,8,15950
1502,1,114,1,51,71614,3,56945
1503,1,199,0,8,106375,4,19995
1504,1,200,1,8,32757,2,43950
1505,1,200,1,8,87348,4,27995
1506,1,201,1,123,157711,8,18750
1507,2,175,0,50,74028,7,6250
1508,2,175,0,12,119893,8,5500
1509,1,9,1,12,133218,3,24995
1510,1,9,1,8,113456,4,21950
1511,1,9,1,12,119893,4,19995
1512,1,9,1,8,75637,5,20995
1513,1,9,1,8,72000,5,17995
1514,1,9,1,22,241395,6,15950
1515,1,9,0,8,179612,6,13945
1516,1,12,1,51,26553,1,48995
1517,1,12,1,109,67966,3,39995
1518,1,8,1,8,199553,5,16945
1519,1,8,0,10,52946,5,19950
1520,1,8,0,109,72554,7,16995
1521,1,9,1,14,6194,0,49750
1522,1,9,1,12,12849,0,47995
1523,1,9,1,51,9599,1,43995
1524,1,9,1,12,29933,1,37995
1525,1,9,1,13,63406,1,37950
1526,1,9,1,12,35421,1,37945
1527,1,9,1,113,49888,2,36995
1528,1,9,1,51,25765,2,34945
1529,1,9,1,12,28646,2,32945
1530,1,9,1,8,62103,2,32945
1531,1,5,1,8,34894,2,27995
1532,1,5,1,12,18900,2,26995
1533,1,5,1,80,74028,3,26950
1534,1,5,1,123,94949,3,23945
1535,1,5,1,8,86902,3,21945
1536,1,5,1,12,107076,3,23950
1537,1,5,1,8,70005,3,21945
1538,1,5,1,8,143261,3,20945
1539,1,5,1,123,158677,4,19950
1540,1,5,0,8,128056,8,11950
1541,1,5,0,8,195691,10,6750
1542,1,8,1,12,52597,2,34500
1543,1,8,1,8,75188,3,29950
1544,1,8,0,124,97800,4,22950
1545,0,142,1,51,57185,2,54995
1546,0,142,1,109,71689,3,49995
1547,0,142,1,51,124882,3,46995
1548,0,142,1,67,147200,4,43950
1549,0,142,1,50,223693,11,13750
1550,0,143,1,32,4,-1,209990
1551,0,143,1,72,2,-1,119800
1552,0,148,1,71,2,-1,193000
1553,0,149,1,70,5,-1,198790
1554,0,162,1,54,2,-1,65705
1555,1,0,1,109,64604,2,21995
1556,1,0,0,66,113778,3,16950
1557,1,0,0,8,56099,4,17995
1558,1,2,1,51,63451,1,28500
