,Brands,Models,Transmission,Colour,Mileage,Year,Prices
154,8,229,1,90,8,0,25950
155,8,230,0,90,10,0,46950
156,8,230,0,192,5,0,36950
157,8,230,0,215,174,0,34950
158,8,230,0,23,10,0,34950
159,8,230,0,23,10,0,34950
160,9,108,1,121,1,-1,34440
161,9,70,0,145,11,-1,31015
162,9,70,1,108,9,-1,31895
163,9,70,0,34,2500,0,24950
164,9,70,1,178,8320,2,22950
165,9,70,0,34,72000,2,19950
166,9,55,1,55,1000,0,45950
167,9,55,0,17,26875,3,24450
168,9,55,0,90,50854,3,20950
169,9,108,0,169,21,0,28950
170,9,120,0,197,6000,1,17950
171,9,120,0,1,37400,2,14950
172,10,258,0,215,7599,1,14950
173,10,258,0,215,110598,4,8750
174,10,259,0,215,93000,5,10950
175,10,259,0,85,146446,8,6950
176,10,260,0,17,67000,4,13950
177,10,119,0,215,50,0,29950
178,10,130,0,180,32579,1,23950
179,10,130,1,180,39127,2,23500
180,10,130,0,180,53569,2,21500
181,10,204,0,215,91571,3,27950
182,10,232,0,215,45500,0,30950
183,10,232,0,90,45500,1,30950
184,10,232,0,215,63567,2,25950
185,10,232,0,215,62317,2,22950
186,10,232,0,17,58257,3,18950
187,10,232,0,23,34922,3,18950
188,10,232,0,17,156376,4,19950
189,10,232,0,90,106899,4,19950
190,10,232,0,90,74886,4,18950
191,12,83,1,215,$,1,46000
192,14,65,0,215,$,3,19950
193,14,66,1,108,$,-1,28450
194,14,66,0,166,333,0,26950
195,14,66,0,44,5000,0,24750
196,14,66,0,215,191888,6,8900
197,14,256,1,24,58,0,36950
198,14,154,1,166,5,-1,45500
199,14,212,0,100,$,-1,31630
200,14,154,1,94,$,-1,32340
201,14,156,0,215,177406,3,14950
202,14,66,0,166,1,-1,27930
203,14,194,0,90,139834,8,6900
204,14,209,1,0,1,-1,56500
205,14,209,1,0,1,-1,51500
206,14,212,0,100,5000,0,31950
207,14,212,0,100,5000,0,30950
208,14,212,0,44,5000,0,29950
209,14,212,0,166,5000,0,29950
210,14,212,0,44,5000,0,29950
211,14,212,0,44,5000,0,29950
212,14,212,0,44,15000,0,31950
213,14,212,0,166,37250,1,27950
214,14,212,0,90,40999,1,26950
215,14,212,0,180,27004,2,25500
216,14,212,0,12,56000,3,20950
