#,Brands,Models,Transmission,Colour,Mileage,Year,Prices
154,6,33,0,24,61636,2,31500
155,6,33,1,4,109579,5,18500
#156,6,33,0,24,$,14,1699
157,6,35,0,24,19,1,31950
#158,6,35,0,24,$,2,17995
159,6,44,1,24,2900,0,39950
160,6,44,0,0,119,0,33500
161,6,44,1,45,11,0,37500
162,6,44,0,4,16285,1,33500
163,6,44,0,24,14463,1,31950
164,6,44,0,22,16040,1,28950
165,6,44,0,24,34351,1,26950
166,6,44,0,24,28637,2,23950
167,6,44,1,4,72491,3,28950
168,6,44,1,47,78576,3,27500
169,6,44,0,24,60692,3,26500
170,6,44,1,51,32139,3,26500
171,6,44,0,47,50979,3,24950
172,6,44,0,24,81295,3,21500
173,6,44,0,4,65655,3,20950
174,6,44,0,47,32991,3,20950
175,6,44,0,4,39439,3,20500
176,6,44,0,24,61997,3,19500
177,6,44,1,24,104497,4,22500
178,6,44,0,22,126164,7,11950
179,6,48,1,24,14,0,37911
180,6,48,1,4,1699,0,35950
181,6,48,1,24,23465,1,29950
182,6,48,1,47,19099,1,27500
183,6,48,1,24,47869,2,27950
184,6,48,0,47,48754,2,22950
185,6,48,1,4,29984,2,22950
186,6,48,0,24,114151,3,18500
187,6,48,0,4,79968,3,20500
188,6,48,0,24,86088,3,17950
189,6,48,0,6,84767,4,18950
190,6,48,0,24,90000,4,17950
191,6,48,0,4,127537,4,15950
#192,6,51,1,24,$,0,30950
193,6,51,0,24,1500,0,26500
194,6,54,1,24,3800,0,63500
195,6,54,1,24,19,0,48950
196,6,54,1,47,19,0,48950
197,6,54,0,47,5,0,47200
198,6,54,0,24,29,0,46950
199,6,54,1,47,16,0,46500
#200,6,54,0,4,$,0,41500
201,6,54,1,0,499,0,46500
202,6,54,0,24,55,0,43500
203,6,54,1,24,127223,2,29000
204,6,56,0,24,18637,2,29500
#205,6,56,0,4,$,11,4495
#206,6,56,0,47,$,14,1995
207,6,62,1,24,50899,2,42500
#208,6,63,1,4,$,0,59950
#209,6,63,1,22,$,0,59950
#210,6,63,0,47,$,0,57950
#211,6,63,0,4,$,0,57950
#212,6,63,0,22,$,0,55750
#213,6,63,0,47,$,0,55658
214,6,63,0,24,165404,3,29950
#215,6,64,0,6,$,-1,30500
216,6,64,0,47,5,0,28950
217,6,64,1,24,8,0,25950
218,6,65,0,24,10,0,46950
219,6,65,0,47,5,0,36950
220,6,65,0,51,174,0,34950
221,6,65,0,6,10,0,34950
222,6,65,0,6,10,0,34950
223,6,65,0,24,49850,1,27500
224,6,65,1,24,94411,1,24950
225,7,23,1,29,9,-1,31895
226,7,23,0,34,11,-1,31015
227,7,38,1,30,1,-1,34440
228,7,23,0,10,2500,0,24950
229,7,23,1,44,8320,2,22950
230,7,23,0,10,72000,2,19950
231,7,19,1,15,1000,0,45950
232,7,19,0,4,26875,3,24450
233,7,19,0,24,50854,3,20950
234,7,38,0,40,21,0,28750
235,7,42,0,49,6000,1,17950
236,7,42,0,1,37400,2,14950
237,7,42,0,24,104143,8,5950
238,8,73,0,51,7599,1,14950
239,8,73,0,51,110598,4,8750
240,8,74,0,51,93000,5,10950
241,8,74,0,22,146446,8,6950
242,8,75,0,4,67000,4,13950
243,8,75,0,4,50075,5,12900
244,8,41,0,51,50,0,29950
245,8,43,0,45,32579,1,23950
246,8,43,1,45,39127,2,23500
247,8,43,0,45,53569,2,21500
248,8,58,0,51,91571,3,27950
249,8,66,0,51,45500,0,30950
250,8,66,0,24,45500,1,30950
251,8,66,0,51,63567,2,25950
252,8,66,0,51,62317,2,22950
253,8,66,0,4,58257,3,18950
254,8,66,0,6,34922,3,18950
255,8,66,0,4,156376,4,19950
256,8,66,0,24,106899,4,19950
257,8,66,0,24,74886,4,18950
#258,9,29,1,51,$,1,46000
259,9,71,1,25,102995,3,22950
#260,10,21,0,51,$,3,19950
#261,10,22,1,29,$,-1,28450
262,10,22,0,38,333,0,26950
263,10,22,0,12,5000,0,24750
264,10,22,0,23,75637,3,15950
265,10,22,0,21,131641,6,9950
266,10,22,0,51,191888,6,8900
267,10,72,1,7,58,0,36950
268,10,49,1,38,5,-1,45500
#269,10,49,1,26,$,-1,32340
#270,10,60,0,27,$,-1,31630
271,10,50,0,51,177406,3,14950
272,10,70,0,12,1,-1,25920
273,10,55,0,24,139834,8,6900
274,10,59,1,0,1,-1,56500
275,10,59,1,0,1,-1,51500
#276,10,60,0,17,$,-1,32870
277,10,60,0,27,5000,0,31950
278,10,60,0,27,5000,0,30950
279,10,60,0,12,5000,0,29950
280,10,60,0,38,5000,0,29950
281,10,60,0,12,5000,0,29950
282,10,60,0,12,5000,0,29950
283,10,60,0,12,15000,0,31950
284,10,60,0,5,35000,1,28950
285,10,60,0,38,37250,1,27950
286,10,60,0,24,40999,1,27500
287,10,60,0,45,27004,2,25500
288,10,60,1,39,11265,3,22950
289,10,60,0,2,56000,3,21950
290,10,60,0,47,51784,3,20950
291,10,60,0,47,49024,3,20950
292,10,60,0,4,46895,3,20950
293,10,60,0,51,93961,3,20500
294,10,60,0,47,89305,3,20500
295,10,60,0,37,73500,4,19950
296,10,60,0,24,821000,4,18950
297,10,60,0,48,113000,4,17950
298,10,60,0,47,142000,6,13950
299,10,60,0,4,110881,8,12950
300,10,61,0,46,34680,1,18950
301,10,61,0,4,24999,1,18950
302,10,67,0,27,26700,2,13950
303,10,67,0,45,86349,6,11950
304,10,55,0,4,11,-1,18950
305,10,70,1,38,1000,0,28950
306,10,70,0,24,5000,0,23500
307,10,70,0,29,19,0,25650
308,10,70,0,14,12,0,25650
309,10,70,0,27,2000,0,24250
310,10,70,0,29,17,0,24250
311,10,70,0,14,13,0,24250
312,11,24,0,25,143228,3,27950
313,12,39,1,47,70093,6,16700
314,12,40,1,4,164348,5,19000
315,13,20,1,24,20876,1,33950
316,13,46,0,11,140143,4,11950
317,13,47,0,11,82000,4,16500
318,13,47,0,31,154493,5,11950
319,14,5,1,45,64372,6,35000
320,14,11,1,28,18900,1,31950
321,14,13,1,9,10300,1,42950
322,14,13,1,33,18700,1,39950
