Brands,Models,Transmission,Colour,Mileage,Year,Prices,
20,144,1,51,40869,2,22995,0.834749017
24,119,0,101,16357,1,18950,0.757830982
22,6,0,51,101286,3,21995,0.691141215
25,22,1,101,19,0,22495,0.08452094
31,98,0,109,123000,4,13500,0.519789984
0,4,0,34,92884,4,23495,0.071114496
24,212,1,12,28665,1,20950,0.560410669
31,81,0,8,201163,7,14750,0.441008211
26,68,0,123,63217,3,10250,0.072968708
7,123,0,8,153849,3,14950,0.965121121
32,203,1,12,56647,2,47995,0.932486117
24,101,0,51,53181,3,18950,0.207260118
26,178,1,8,165758,3,16950,0.406209692
24,119,1,109,71886,2,16750,0.206435266
25,22,0,8,25507,2,17995,0.39659825
31,135,0,109,219146,4,15000,0.349853582
31,138,1,8,67591,3,17350,0.533901181
31,187,0,12,34291,0,38500,0.623886637
24,101,0,123,30367,1,24450,0.712045446
28,179,0,8,37014,3,12450,0.892359876
31,81,0,51,73710,5,16945,0.599398465
29,33,0,8,61244,2,19850,0.991273656
7,71,0,8,16994,1,21450,0.716811372
31,38,1,124,112490,3,18950,0.900097552
31,184,0,51,132269,3,22950,0.340241854
18,32,1,12,75655,3,26945,0.919732814
31,184,0,51,95697,3,27000,0.552739284
3,84,1,109,97996,5,13995,0.119418032
21,95,0,12,111364,3,16950,0.738848621
31,46,0,109,125000,5,10000,0.026544844
0,4,1,35,189897,3,24950,0.864170992
31,184,0,50,193805,9,10500,0.516552824
19,131,1,8,86500,4,34995,0.210535746
21,122,0,123,82900,4,14995,0.042462675
20,144,0,51,43000,1,23495,0.296386475
25,22,0,8,2,0,21495,0.927563192
20,144,0,101,45418,1,23495,0.807644663
14,61,1,51,68000,5,24900,0.480013473
31,187,0,8,153094,6,13500,0.659502513
22,11,0,8,150148,10,5950,0.773144117
0,1,0,18,5,-1,35995,0.735627648
20,144,0,8,23979,3,17450,0.880289511
24,50,0,51,21040,1,17450,0.171414612
1,2,1,51,63451,1,28500,0.062292372
31,98,0,12,46000,2,22000,0.146978511
18,65,1,12,40962,2,34900,0.871034968
24,56,0,51,33795,1,12725,0.508524411
31,180,0,123,17017,0,26500,0.979088394
0,1,0,9,10,-1,43563,0.010501778
31,184,0,96,10061,0,40945,0.261121114
24,101,0,12,14526,1,23450,0.960745237
29,57,1,76,5540,0,25895,0.465470087
31,81,0,123,74000,2,24500,0.697276155
20,198,0,8,246100,4,15950,0.744120391
0,4,1,7,5,-1,61135,0.946070392
26,126,0,12,24476,2,19795,0.744530265
25,22,0,8,60318,2,17495,0.616216469
17,45,0,101,98014,3,16500,0.03438789
0,4,1,2,124640,4,21995,0.61973545
9,218,0,109,103500,6,8100,0.997210231
31,184,1,51,47480,3,28500,0.66819568
20,144,0,8,162539,8,9350,0.758314848
31,98,0,51,101653,4,14000,0.085407713
21,24,0,109,232902,9,5000,0.340258918
18,32,1,51,93568,3,26900,0.778728783
19,130,0,124,174287,6,14950,0.581277679
29,57,0,51,44999,3,16495,0.815802534
31,135,0,109,100192,3,19500,0.679777899
29,27,0,120,100218,4,15995,0.591521692
31,135,0,101,171640,8,9500,0.763425105
29,57,0,51,245097,14,1900,0.654457472
15,43,1,8,48601,2,22950,0.367894208
26,126,0,8,153408,3,13495,0.243101253
26,126,0,8,138078,3,14950,0.83933532
0,4,1,2,68878,3,27450,0.093710423
17,44,0,8,10621,0,26995,0.631020703
0,4,1,2,5150,0,50950,0.265704241
6,10,0,50,48279,3,11950,0.325902953
9,190,1,51,12002,0,36995,0.003619813
21,24,0,30,46770,2,13950,0.478007669
31,184,0,5,4000,0,38945,0.970520586
7,71,0,123,94949,3,16495,0.13207353
24,119,0,8,15,1,18950,0.294140502
20,144,0,51,165436,5,13500,0.036473576
7,80,0,12,83684,3,24950,0.359253271
18,65,1,8,104102,2,32900,0.349873484
29,26,0,123,63950,2,16995,0.72624458
31,135,0,8,112651,4,16350,0.194261146
24,50,0,51,39948,1,17450,0.895063215
24,119,0,101,60249,3,14950,0.039033883
7,71,0,51,70624,3,16995,0.280822406
31,135,0,109,75911,3,21500,0.577932493
0,4,1,15,73384,3,26950,0.895835917
1,12,1,109,67966,3,39995,0.730518789
18,39,1,123,160608,4,18750,0.918755044
7,71,0,12,67666,3,14950,0.960822016
24,50,0,51,75198,4,12995,0.599317929
13,176,0,101,150153,4,16995,0.864088845
31,81,0,109,78999,3,18495,0.815538113
